Global Land and Ocean Temperature Anomalies, January-October
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999.0000
Year,Value
1880,-0.11
1881,-0.06
1882,-0.05
1883,-0.15
1884,-0.21
1885,-0.26
1886,-0.21
1887,-0.27
1888,-0.18
1889,-0.08
1890,-0.34
1891,-0.26
1892,-0.27
1893,-0.34
1894,-0.28
1895,-0.24
1896,-0.09
1897,-0.08
1898,-0.28
1899,-0.14
1900,-0.07
1901,-0.13
1902,-0.22
1903,-0.32
1904,-0.46
1905,-0.32
1906,-0.20
1907,-0.36
1908,-0.44
1909,-0.45
1910,-0.35
1911,-0.47
1912,-0.32
1913,-0.36
1914,-0.14
1915,-0.07
1916,-0.25
1917,-0.30
1918,-0.20
1919,-0.17
1920,-0.18
1921,-0.14
1922,-0.23
1923,-0.25
1924,-0.22
1925,-0.19
1926,-0.04
1927,-0.14
1928,-0.18
1929,-0.29
1930,-0.13
1931,-0.06
1932,-0.10
1933,-0.22
1934,-0.12
1935,-0.12
1936,-0.13
1937,-0.01
1938,-0.01
1939,-0.06
1940,0.08
1941,0.19
1942,0.15
1943,0.12
1944,0.32
1945,0.19
1946,0.02
1947,-0.05
1948,-0.05
1949,-0.05
1950,-0.14
1951,-0.04
1952,0.05
1953,0.11
1954,-0.13
1955,-0.11
1956,-0.21
1957,0.02
1958,0.10
1959,0.08
1960,0.00
1961,0.09
1962,0.09
1963,0.10
1964,-0.14
1965,-0.09
1966,-0.01
1967,-0.01
1968,-0.04
1969,0.06
1970,0.05
1971,-0.10
1972,-0.00
1973,0.19
1974,-0.07
1975,0.03
1976,-0.10
1977,0.20
1978,0.10
1979,0.19
1980,0.26
1981,0.30
1982,0.16
1983,0.34
1984,0.18
1985,0.13
1986,0.24
1987,0.36
1988,0.39
1989,0.29
1990,0.42
1991,0.42
1992,0.27
1993,0.30
1994,0.32
1995,0.47
1996,0.32
1997,0.50
1998,0.66
1999,0.44
2000,0.45
2001,0.54
2002,0.62
2003,0.60
2004,0.57
2005,0.65
2006,0.60
2007,0.63
2008,0.53
2009,0.64
2010,0.72
2011,0.59
2012,0.63
2013,0.65
2014,0.74
2015,0.88
2016,0.98
2017,0.85
